SIGNAL_TYPE,SIGNAL_TYPE2,FACILITYID,LEGACYID,SIGNAL_ID,CONSTRUCTION_STATUS,RADIO_CONTROL,OPTICOM,ROTATION,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
2,Pedestrian,1001900534, ,523,Constructed, , ,0,In Service,1711-3090-00,2016,Surrey, , ,Final AB,, ,,0,0,20161220,20171123,49.055505,-122.805844
4,Traffic,1000963629, ,55,Constructed,Yes,Yes,0,In Service, ,0,Surrey,Fraser Highway and 188 Street, ,Final AB,, ,,0,0,,20171123,49.123715,-122.701720
4,Traffic,1000963321, ,27,Constructed,No,Yes,0,In Service, ,0,Surrey,100 Avenue and 154 Street, ,Final AB,, ,,0,0,,20171123,49.184265,-122.795355
4,Traffic,1002238158,,,Constructed,,,,In Service,R-15735,2018,Surrey,108 Ave & 142 St,,Initial AB,,,,,,20200703,20200703,49.198817,-122.828469
4,Traffic,1000963407, ,103,Constructed,Yes,Yes,0,In Service,3804-4260-00,2009,Surrey,64 Avenue and 168 Street, ,Final AB,, ,,0,0,,20171123,49.118899,-122.756556
4,Traffic,1000963381, ,448,Constructed,No,Yes,0,In Service,3807-4020-00,2009,Surrey,82 Avenue and 124 Street, ,Final AB,, ,,0,0,,20171123,49.152040,-122.879095
4,Traffic,1002238162,,,Constructed,,,,In Service,,,Surrey,,,,,,,,,,,49.121129,-122.712584
4,Traffic,1000963683, ,514,Constructed, , ,0,In Service, ,0,Surrey,24 Ave & 192 St, ,Final AB,, ,,0,0,,20171123,49.045662,-122.691403
4,Traffic,1000963335, ,60,Constructed,No,Yes,0,In Service,3808-4070-00,2011,Surrey,64 Avenue and 134 Street,Pedestrian Signal,Final AB,, ,,0,0,,20171123,49.119021,-122.850996
4,Traffic,1000963563, ,73,Constructed,No,Yes,0,In Service,3809-4100-00,2012,Surrey,104 Avenue and 142 Street, ,Final AB,, ,,0,0,,20171123,49.191503,-122.828612
4,Traffic,1000963636, ,311,Constructed,No, ,0,In Service,MOTH 71101-2011,2008,Provincial,Hwy 15 & Fraser Hwy, ,Final AB,, ,,0,0,,20171123,49.138130,-122.734745
4,Traffic,1000963671, ,35,Constructed,Yes,Yes,0,In Service, ,0,Surrey,96 Avenue and 152 Street, ,Final AB,, ,,0,0,,20171123,49.176841,-122.801027
2,Pedestrian,1001750921, ,614,Constructed, , ,0,In Service,3813-4120-00,2014,Surrey,88 Avenue and 130 Street, ,Final AB,, ,,0,0,20141215,20171123,49.162631,-122.862465
4,Traffic,1001889284, ,536,Constructed, ,Yes,0,In Service, ,0,Surrey,King George Blvd  & 98B St,Added Via 2016 Ortho -C9W, ,, ,,0,0,20160826,20171123,49.182096,-122.845457
2,Pedestrian,1002238159,,,Constructed,,,,In Service,R-14269,2018,Surrey,96 Ave & 161 St,,Initial AB,,,,,,20200703,20200703,49.176919,-122.776076
4,Traffic,1000963546, ,125,Constructed,No,Yes,0,In Service, ,0,Surrey,16 Avenue and 168 Street, , ,, ,,0,0,,20171123,49.031098,-122.757130
4,Traffic,1001218128, ,598,Constructed, ,Yes,0,In Service,7806-0137-00,2011,Surrey,NW Mall Access & Croydon Drive, ,Final AB,, ,,0,0,20111107,20171123,49.048035,-122.787427
0,Beacons,1001750925, ,540,Constructed, , ,0,In Service, ,0,Surrey, ,Side Mounted Beacon, ,, ,,0,0,20140527,20140527,49.153642,-122.778837
0,Beacons,1001146948, ,544,Constructed, , ,0,In Service,3808-4080-00,2009,Surrey,68 Ave & 130 St,Overhead Flashing Beacon,Final AB,, ,,0,0,20100118,20121213,49.126494,-122.862200
3,Special Crosswalk,1001779569, ,587,Constructed, , ,0,In Service, ,0,Surrey,101 Ave  Whalley Blvd, , ,, ,,0,0,20140909,20171123,49.186115,-122.843234
4,Traffic,1001893334, ,626,Constructed, ,Yes,0,In Service,3814-4120-00,2016,Surrey,60 Avenue & 172 Street,input via opticom table update,Final AB,, ,,0,0,20160928,20171123,49.111514,-122.746025
3,Special Crosswalk,1001413047, ,528,Constructed, , ,0,In Service,3810-7040-00,2011,Surrey,15910blk 96 Ave, ,Final AB,, ,,0,0,20120516,20171123,49.176903,-122.781452
4,Traffic,1000963674, ,445,Constructed,No,Yes,0,In Service,3801-4130-00,2011,Surrey,16 Avenue and 136 Street, ,Final AB,, ,,0,0,20121220,20171123,49.031225,-122.845419
4,Traffic,1000963626, ,292,Constructed,No,Yes,0,In Service,3810-4110-00,2014,Surrey,96 Avenue and 168 Street, ,Final AB,, ,,0,0,,20171123,49.177055,-122.756593
4,Traffic,1000963428, ,143,Constructed,Yes,Yes,0,In Service,3807-4080-00,2010,Surrey,Fraser Highway and 64 Avenue, ,Final AB,, ,,0,0,,20171123,49.118967,-122.691353
4,Traffic,1000963653, ,436,Constructed,No,Yes,0,In Service,3805-4010-0,2008,Surrey,King George Blvd and 62 Avenue, ,Final AB,, ,,0,0,,20171123,49.115450,-122.844396
2,Pedestrian,1001146940, ,638,Constructed, , ,0,In Service,3808-7020-00,2009,Surrey,63 Avenue and 168 Street, ,Final AB,, ,,0,0,20121213,20171123,49.116485,-122.756579
4,Traffic,1000963548, ,171,Constructed,Yes,Yes,0,In Service,1711-7090-00,2015,Surrey,72 Avenue and 122 Street, ,Final AB,, ,,0,0,,20171123,49.134018,-122.884821
4,Traffic,1001893432, ,564,Constructed, ,Yes,0,In Service, ,0,Surrey,32 Avenue & 15800 Block, , ,, ,,0,0,20160929,20180911,49.060102,-122.787215
4,Traffic,1000963376, ,287,Constructed,Yes,Yes,0,In Service, ,0,Surrey,104 Avenue and 150 Street, ,Final AB,, ,,0,0,,20171123,49.191485,-122.806432
4,Traffic,1000963625, ,20,Constructed,Yes,Yes,0,In Service, ,0,Surrey,100 Avenue and 132 Street, ,Final AB,, ,,0,0,,20171123,49.184403,-122.856522
4,Traffic,1000963705, ,142,Constructed,Yes,Yes,0,In Service, ,0,Surrey,100 Avenue and 148 Street, ,Final AB,, ,,0,0,,20171123,49.184174,-122.812052
4,Traffic,1000963418, ,435,Constructed,No,Yes,0,In Service,3806-4030-00,2009,Surrey,108 Avenue and Oriole Drive, ,Final AB,, ,,0,0,,20171123,49.198731,-122.808619
4,Traffic,1001984864,,,Constructed,,,,In Service,3816-4040-00,,Surrey,100 Ave & 144 St,,EC,,,,,,20180219,20180912,49.184051,-122.823081
4,Traffic,1002238160,,,Constructed,,,,In Service,R-15730,2019,Surrey,120 St & 62 Ave,,Initial AB,,,,,,,20200702,49.115589,-122.890411
4,Traffic,1001602507, ,463,Constructed, ,Yes,0,In Service,3812-4120-00,2013,Surrey,King George Blvd and 160 Street, ,Final AB,, ,,0,0,20130612,20171123,49.034008,-122.779198
4,Traffic,1000963564, ,234,Constructed,No,Yes,0,In Service, ,0,Surrey,24 Avenue and 148 Street, ,Final AB,, ,,0,0,,20171123,49.045661,-122.812262
4,Traffic,1000963488, ,96,Constructed,No,Yes,0,In Service, ,0,Surrey,88 Avenue and 168 Street, ,Final AB,, ,,0,0,,20171123,49.162856,-122.756617
4,Traffic,1001201151, ,481,Constructed, ,Yes,0,In Service,1713-3180-00,2015,Surrey,Old Yale Road and 124 Street, ,Final AB,, ,,0,0,20160128,20171123,49.197543,-122.878709
3,Special Crosswalk,1001928110, ,550,Constructed, , ,0,In Service, ,2016,Surrey,24 Ave 150 St, , ,, ,,0,0,20170424,20171123,49.045637,-122.804117
2,Pedestrian,1000963558, ,223,Constructed,No, ,0,In Service, ,0,Surrey,24 Avenue and 161 Street, ,Final AB,, ,,0,0,,20171123,49.045563,-122.776964
4,Traffic,1001945978, ,640,Constructed, , ,0,In Service, ,0,Surrey,101A & 160 St, ,Final AB,, ,,0,0,,20171123,49.187035,-122.778585
4,Traffic,1000963497, ,280,Constructed,Yes,Yes,0,In Service, ,0,Surrey,82 Avenue and 152 Street, ,Final AB,, ,,0,0,,20171123,49.151909,-122.801293
4,Traffic,1001750913, ,509,Constructed, ,Yes,0,In Service,1709-3140-00,2014,Surrey,60 Avenue and 196 Street, ,Final AB,, ,,0,0,20140527,20171123,49.111237,-122.679944
4,Traffic,1000963445, ,124,Constructed,No, ,0,In Service, ,0,Provincial,Hwy 10 & 192 St, ,Final AB,, ,,0,0,,20171123,49.104495,-122.691126
4,Traffic,1001740222, ,579,Constructed, ,Yes,0,In Service,7811-0053-00,2014,Surrey,96 Avenue and 137 Street, ,Final AB,, ,,0,0,20140407,20171123,49.177031,-122.843396
4,Traffic,1000963581, ,101,Constructed,No,Yes,0,In Service, ,0,Surrey,28 Avenue and 148 Street, ,Final AB,, ,,0,0,,20171123,49.052917,-122.812193
4,Traffic,1000963506, ,236,Constructed,No, ,0,In Service,MOTH 71101-2011,2008,Provincial,Hwy 15 & 88 Ave, ,Final AB,, ,,0,0,,20171123,49.162588,-122.734712
4,Traffic,1000963690, ,119,Constructed,Yes,Yes,0,In Service, ,0,Surrey,16 Avenue and Martin Drive, ,Final AB,, ,,0,0,,20171123,49.031130,-122.805301
2,Pedestrian,1000963499, ,421,Constructed,Yes, ,0,In Service, ,0,Surrey,95 Avenue and 152 Street, ,Final AB,, ,,0,0,,20171123,49.175517,-122.801075
4,Traffic,1000963686, ,37,Constructed,Yes,Yes,0,In Service, ,0,Surrey,Fraser Highway and 96 Avenue, ,Final AB,, ,,0,0,,20171123,49.176549,-122.828437
2,Pedestrian,1001419635, ,606,Constructed, , ,0,In Service,3812-4010-00,2013,Surrey,16 Avenue and Foster Street, ,EC,, ,,0,0,20120727,20171123,49.031125,-122.803932
4,Traffic,1000963632, ,92,Constructed,Yes,Yes,0,In Service, ,0,Surrey,Fraser Highway and 159 Street, ,Final AB,, ,,0,0,,20171123,49.158640,-122.782198
4,Traffic,1000963347, ,170,Constructed,Yes,Yes,0,In Service, ,0,Surrey,King George Blvd and 128 Street, , ,, ,,0,0,,20171123,49.206354,-122.867331
4,Traffic,1001984901,,,Constructed,,,,In Service,3816-4030-00,,Surrey,100 Ave & Green Timbers Park,,EC,,,,,,20180219,20180912,49.184060,-122.820104
4,Traffic,1001945916, ,596,Constructed, , ,0,In Service, ,0,Surrey,98 Ave & 160 St, ,Final AB,, ,,0,0,,20171123,49.180610,-122.778713
4,Traffic,1001146939, ,641,Constructed, ,Yes,0,In Service,3808-4030-00,2012,Surrey,84 Avenue and 168 Street, ,Final AB,, ,,0,0,20100118,20171123,49.155490,-122.756623
4,Traffic,1000963583, ,68,Constructed,Yes,Yes,0,In Service, ,0,Surrey,16 Avenue and 156 Street, ,Final AB,, ,,0,0,,20171123,49.031092,-122.790196
4,Traffic,1000963608, ,293,Constructed,Yes,Yes,0,In Service, ,0,Surrey,104 Avenue and Whalley Boulevard, ,Final AB,, ,,0,0,,20171123,49.191580,-122.841910
4,Traffic,1000963529, ,90,Constructed,Yes,Yes,0,In Service, ,0,Surrey,68 Avenue and 128 Street, ,Final AB,, ,,0,0,,20171123,49.126586,-122.867786
4,Traffic,1000963703, ,49,Constructed,Yes,Yes,0,In Service, ,0,Surrey,75A Avenueand 120 Street, ,Final AB,, ,,0,0,,20171123,49.140189,-122.890353
4,Traffic,1001955885, ,505,Constructed, , ,0,In Service, ,0,Surrey,68 Ave & 148 St, , ,, ,,0,0,,20171123,49.126383,-122.812201
4,Traffic,1000963401, ,34,Constructed,No, ,0,In Service,MOTH 71101-1004,2007,Provincial,Hwy 10 & 168 St, ,Final AB,, ,,0,0,,20171123,49.104285,-122.756653
0,Beacons,1001740214, ,475,Constructed, , ,0,In Service, ,0,Surrey, ,Side Mounted Beacon, ,, ,,0,0,20140407,20140407,49.198867,-122.762724
2,Pedestrian,1001567077, ,624,Constructed, , ,0,In Service, ,2012,Surrey,Green Timbers Way and Staff Access, ,Final AB,, ,,0,0,20131016,20171123,49.179067,-122.829337
4,Traffic,1000963474, ,80,Constructed,Yes,Yes,0,In Service,7806-0413-00,2013,Surrey,102A Avenue and 152 Street, ,Final AB,, ,,0,0,20140123,20171123,49.188736,-122.800893
3,Special Crosswalk,1001218098, ,561,Constructed, ,Y,0,In Service,7806-0137-00,2011,Surrey,Croydon Drive and Mall Access,It was Yellow Beacon,Final AB,, ,,0,0,20111107,20171123,49.046757,-122.784464
3,Special Crosswalk,1001779560, ,491,Constructed, , ,0,In Service, ,0,Surrey,24 ave 150 st, , ,, ,,0,0,20140909,20171123,49.045642,-122.806730
0,Beacons,1001927753, ,552,Constructed, , ,0,In Service, ,2016,Surrey, ,Rapid Flashing Beacon, ,, ,,0,0,20170420,20170420,49.206176,-122.845303
3,Special Crosswalk,1001928087, ,530,Constructed, , ,0,In Service, ,2016,Surrey,2900 Blk King George Blvd, , ,, ,,0,0,20170424,20171123,49.055446,-122.805769
4,Traffic,1000963404, ,97,Constructed,Yes,Yes,0,In Service, ,0,Surrey,66 Avenue and 128 Street, ,Final AB,, ,,0,0,,20171123,49.122853,-122.867814
4,Traffic,1001146942, ,499,Constructed,No, ,0,In Service, ,0,Provincial,192 St & Golden Ears Way, , ,, ,,0,0,20100118,20171123,49.181035,-122.690292
0,Beacons,1001927743, ,470,Constructed, , ,0,In Service, ,2016,Surrey, ,Rapid Flashing Beacon, ,, ,,0,0,20170420,20190711,49.111754,-122.806584
4,Traffic,1000963383, ,17,Constructed,Yes,Yes,0,In Service, ,0,Surrey,64 Avenue and 132 Street, ,Final AB,, ,,0,0,,20171123,49.119003,-122.856511
4,Traffic,1000963614, ,40,Constructed,Yes,Yes,0,In Service, ,0,Surrey,88 Avenue and 156 Street, ,Final AB,, ,,0,0,,20171123,49.162801,-122.790180
4,Traffic,1000963522, ,198,Constructed,No,Yes,0,In Service, ,0,Surrey,54A Avenue and 152 Street, ,Final AB,, ,,0,0,,20171123,49.101698,-122.801068
2,Pedestrian,1001132064, ,483,Constructed,No,No,0,In Service,3808-4050-00,2012,Surrey,100 Avenue and 153 Street, ,Final AB,, ,,0,0,20090915,20171123,49.184231,-122.798135
4,Traffic,1000963587, ,19,Constructed,No,Yes,0,In Service,1E05,2009,Surrey,94 Avenue and 192 Street, ,Final AB,, ,,0,0,,20171123,49.173382,-122.690584
4,Traffic,1000963616, ,43,Constructed,Yes,Yes,0,In Service, ,0,Surrey,72 Avenue and 137 Street, ,Final AB,, ,,0,0,,20171123,49.133559,-122.842797
4,Traffic,1002238165,,,Constructed,,,,In Service,,,Surrey,,,,,,,,,,,49.162765,-122.776015
2,Pedestrian,1002238166,,,Constructed,,,,In Service,,,Surrey,,,,,,,,,,,49.123216,-122.845529
0,Beacons,1001927715, ,635,Constructed, , ,0,In Service, ,2015,Surrey, ,Rapid Flashing Beacon, ,, ,,0,0,20170420,20200514,49.115326,-122.856586
2,Pedestrian,1002238163,,,Constructed,,,,In Service,,,Surrey,,,,,,,,,,,49.125151,-122.704964
2,Pedestrian,1000963515, ,356,Constructed,Yes, ,0,In Service, ,0,Surrey,Fraser Highway and 194 Street, ,Final AB,, ,,0,0,,20171123,49.116124,-122.684783
2,Pedestrian,1001779570, ,551,Constructed, , ,0,In Service, ,0,Surrey,105 Avenue and 132 Street, , ,, ,,0,0,20140909,20171123,49.193263,-122.856446
4,Traffic,1001146944, ,542,Constructed,No, ,0,In Service, ,0,Provincial,96 Ave & Golden Ears Way, , ,, ,,0,0,20100118,20171123,49.179061,-122.713325
4,Traffic,1000963502, ,325,Constructed,No,Yes,0,In Service, ,0,Surrey,84 Avenue and 144 Street, ,Final AB,, ,,0,0,,20171123,49.155522,-122.823351
4,Traffic,1000963526, ,86,Constructed,Yes,Yes,0,In Service, ,0,Surrey,King George Blvd and 64 Avenue, ,Final AB,, ,,0,0,,20171123,49.119039,-122.845486
4,Traffic,1001899407, ,631,Constructed, , ,0,In Service,MOTH 12449-2014,2014,Provincial,16 Ave & HWY 99 West Side, ,Final AB,, ,,0,0,20161207,20171123,49.031089,-122.770247
4,Traffic,1001598488, ,589,Constructed, ,Yes,0,In Service,3813-6140-00,2014,Surrey,28 Avenue and 160 Street, ,Final AB,, ,,0,0,20130603,20171123,49.052809,-122.779189
2,Pedestrian,1000963607, ,379,Constructed,No, ,0,In Service, ,0,Surrey,84 Avenue and 146 Street, ,Final AB,, ,,0,0,,20171123,49.155525,-122.817562
4,Traffic,1000963617, ,163,Constructed,No,Yes,0,In Service, ,0,Surrey,Whalley Blvd and Skytrain Access, ,Final AB,, ,,0,0,,20171123,49.182063,-122.842095
1,Fire,1000963354, ,440,Constructed,No, ,0,In Service, ,0,Surrey, , ,Final AB,, ,,0,0,,20171123,49.191676,-122.860149
4,Traffic,1000963701, ,152,Constructed,No, ,0,In Service,MOTH Gateway E1,2015,Provincial,160 St & 104 Ave South, ,Final AB,, ,,0,0,,20171123,49.190860,-122.778385
4,Traffic,1000963670, ,160,Constructed,No,Yes,0,In Service, ,0,Surrey,24 Avenue and 128 Street, ,Final AB,, ,,0,0,,20171123,49.045770,-122.867385
4,Traffic,1000963460, ,81,Constructed,Yes,Yes,0,In Service, ,0,Surrey,104 Avenue and 144 Street, ,Final AB,, ,,0,0,,20171123,49.191526,-122.823101
4,Traffic,1000963513, ,157,Constructed,No,Yes,0,In Service, ,0,Surrey,20 Avenue and 128 Street, ,Final AB,, ,,0,0,,20171123,49.038531,-122.867450
4,Traffic,1000963580, ,123,Constructed,Yes,Yes,0,In Service,3806-4050-00,2009,Surrey,108 Avenue and 150 Street, ,Final AB,, ,,0,0,,20171123,49.198736,-122.806174
4,Traffic,1000963459, ,121,Constructed,Yes,Yes,0,In Service, ,0,Surrey,68 Avenue and 120 Street, ,Final AB,, ,,0,0,,20171123,49.126715,-122.890366
4,Traffic,1000963319, ,621,Constructed,No,Yes,0,In Service,3812-4100-00,2014,Surrey,64 Avenue and 126 Street, ,Final AB,, ,,0,0,,20171123,49.119173,-122.873415
4,Traffic,1000963521, ,156,Constructed,No,Yes,0,In Service,7806-0137-00,2011,Surrey,26 Avenue and 160 Street, ,Final AB,, ,,0,0,,20171123,49.049177,-122.779200
3,Special Crosswalk,1000963696, ,439,Constructed,No, ,0,In Service, ,0,Surrey,~ 11104 Scott Rd, ,Final AB,, ,,0,0,,20171123,49.204608,-122.877673
4,Traffic,1002036494,,,Constructed,,,,In Service,3815-4100-00,2017,Surrey,144 St & 70A Ave,,,,,,,,20180522,20180522,49.130917,-122.823321
4,Traffic,1001224667, ,508,Constructed,No,Yes,0,In Service,3810-4110-00,2011,Surrey,96 Avenue and 172 Street, ,Final AB,, ,,0,0,20111222,20171123,49.177049,-122.745856
4,Traffic,1000963555, ,107,Constructed,Yes,Yes,0,In Service, ,0,Surrey,100 Avenue and 152 Street, ,Final AB,, ,,0,0,,20171123,49.184198,-122.800916
4,Traffic,1000963677, ,264,Constructed,Yes,Yes,0,In Service, ,0,Surrey,King George Blvd and 108 Avenue, ,Final AB,, ,,0,0,,20171123,49.198866,-122.845952
4,Traffic,1001779572, ,516,Constructed, , ,0,In Service, ,0,Surrey,Colebrook Road & 152 St, , ,, ,,0,0,,20171123,49.098273,-122.800786
4,Traffic,1000963387, ,315,Constructed,No, ,0,In Service,MOTH 71101-1004,2007,Provincial,Hwy 10 & KGB, ,Final AB,, ,,0,0,,20171123,49.105230,-122.832176
4,Traffic,1000963620, ,200,Constructed,Yes,Yes,0,In Service, ,0,Surrey,108 Avenue and 144 Street, ,Final AB,, ,,0,0,,20171123,49.198786,-122.823024
3,Special Crosswalk,1001928083, ,480,Constructed, , ,0,In Service, ,2015,Surrey,63A Ave 144 St, , ,, ,,0,0,20170424,20171123,49.118079,-122.823300
4,Traffic,1000963691, ,273,Constructed,No,Yes,0,In Service, ,0,Surrey,92 Avenue and 156 Street, ,Final AB,, ,,0,0,,20171123,49.170119,-122.790067
4,Traffic,1001165760, ,513,Constructed, ,Yes,0,In Service,7805-0143-00,2010,Surrey,103A Avenue and Grace Road, ,Final AB,, ,,0,0,20100629,20171123,49.190741,-122.893194
1,Fire,1000963358, ,331,Constructed,No, ,0,In Service, ,0,Surrey, , ,Final AB,, ,,0,0,,20171123,49.166367,-122.801393
4,Traffic,1000963654, ,276,Constructed,Yes, ,0,In Service,SFPR Seg. 6,2013,Provincial,Bridge Rd @ Old Yale Rd (SFPR - proposed?), ,Final AB,, ,,0,0,,20171123,49.201781,-122.887675
4,Traffic,1000963498, ,291,Constructed,No,Yes,0,In Service, ,0,Surrey,16 Avenue and 184 Street, , ,, ,,0,0,,20171123,49.031205,-122.713360
4,Traffic,1001799634, ,546,Constructed, , ,0,In Service,MOTH Gateway E2,2015,Provincial,"Hwy 1 WB Off Ramp to 176 St, North of Hwy 1", ,Final AB,, ,,0,0,20141217,20171123,49.183035,-122.734692
4,Traffic,1001779493, ,541,Constructed, ,Yes,0,In Service,3814-4010-00,2014,Surrey,128 St and 70B Ave, ,Final AB,, ,,0,0,20140909,20171123,49.131424,-122.867828
4,Traffic,1001567079, ,566,Constructed, , ,0,In Service,SFPR Seg. F1,2014,Provincial,104 Ave & South Fraser Perimeter Rd, ,Final AB,, ,,0,0,20130212,20171123,49.191492,-122.738171
4,Traffic,1000963344, ,282,Constructed,Yes,Yes,0,In Service, ,0,Surrey,84 Avenue and 152 Street, ,Final AB,, ,,0,0,,20171123,49.155534,-122.801420
4,Traffic,1000963595, ,217,Constructed,Yes,Yes,0,In Service, ,0,Surrey,80 Avenue and 132 Street, ,Final AB,, ,,0,0,,20171123,49.148172,-122.856814
